CY,IY
-0.436330933,-1.564647486
-0.429573952,-1.567825016
-0.429856089,-1.569622916
-0.430095509,-1.566342659
-0.427637845,-1.552865899
-0.430945148,-1.549609458
-0.432849258,-1.539380765
-0.433783987,-1.540614511
-0.431265167,-1.540458155
-0.442768204,-1.54025141
-0.439999018,-1.523109533
-0.436808495,-1.529781663
-0.438074481,-1.520382999
-0.430395078,-1.50095497
-0.431097882,-1.495983804
-0.4329133,-1.493895857
-0.433840834,-1.48795572
-0.425209254,-1.476461132
-0.425125909,-1.471278581
-0.42690871,-1.480144909
-0.413743071,-1.459732388
-0.42382285,-1.463672376
-0.414886594,-1.463216631
-0.412278412,-1.467125991
-0.40475357,-1.472137176
-0.409560786,-1.483717923
-0.405400135,-1.494031337
-0.395971182,-1.509910539
-0.403062018,-1.525348941
-0.399975763,-1.53348451
-0.396917044,-1.540703837
-0.393777282,-1.544016643
-0.392127535,-1.542623444
-0.392203598,-1.535106389
-0.393730848,-1.526732211
-0.399707992,-1.522606398
-0.395328173,-1.529532777
-0.39801743,-1.511162191
-0.397920655,-1.500381177
-0.39625145,-1.492515792
-0.403656941,-1.486842468
-0.397970426,-1.473534494
-0.395552236,-1.465320989
-0.399109002,-1.464321448
-0.403112309,-1.456245724
-0.400708263,-1.462399129
-0.395986124,-1.47243092
-0.400210696,-1.480461749
-0.397363662,-1.485331641
-0.399589975,-1.488383281
-0.39890289,-1.501906278
-0.39630331,-1.516129226
-0.38852257,-1.523857622
-0.38715075,-1.534849273
-0.386352966,-1.549025603
-0.392069336,-1.575796075
-0.388954059,-1.635117271
-0.385633997,-1.668410113
-0.376567664,-1.678960524
-0.384653875,-1.693059881
-0.382673401,-1.706255646
-0.387435489,-1.687839603
-0.38895798,-1.693429043
-0.386945582,-1.687761972
-0.376946317,-1.692591058
-0.378596907,-1.68538215
-0.376003137,-1.65819144
-0.383802923,-1.649287825
-0.383003264,-1.637813611
-0.387364361,-1.627521905
-0.389343439,-1.631929388
-0.385511094,-1.625294375
-0.389587866,-1.627485634
-0.392242243,-1.622023203
-0.396738785,-1.616214618
-0.397910362,-1.614335229
-0.390563814,-1.605124113
-0.393921311,-1.595159432
-0.396959211,-1.589782183
-0.393386552,-1.583440675
-0.397431735,-1.588354865
-0.396738524,-1.58840802
-0.392654992,-1.586297363
-0.389798623,-1.592927684
-0.386304189,-1.592980076
-0.383984804,-1.597191411
-0.382336861,-1.598034769
-0.382779517,-1.597122414
-0.380193654,-1.588063236
-0.380863661,-1.58519158
-0.383328869,-1.59049743
-0.382847323,-1.582500708
-0.386328187,-1.573661464
-0.388234585,-1.570481056
-0.386995348,-1.571645825
-0.38758349,-1.57280684
-0.3913774,-1.567295748
-0.386144961,-1.57023262
-0.385806407,-1.571119895
-0.387628469,-1.574964195
-0.393613657,-1.56324157
-0.399035654,-1.533221306
-0.385261982,-1.55218363
